Sequence Number n,EEG (V),,,
14,-6.94E-07,,,
15,-2.31E-07,,,
0,1.00E-06,,,
1,1.85E-06,,,
2,1.16E-06,,,
3,6.17E-07,,,
4,3.09E-07,,,
5,5.40E-07,,,
6,7.71E-08,,,
7,-6.17E-07,,,
8,-6.94E-07,,,
9,-7.71E-08,,,
10,-7.71E-08,,,
11,-7.71E-08,,,
12,-4.63E-07,,,
13,-2.31E-07,,,
14,-2.31E-07,,,
15,-3.86E-07,,,
0,-7.71E-07,,,
1,-2.31E-07,,,
2,-1.54E-07,,,
3,2.31E-07,,,
4,6.17E-07,,,
5,3.86E-07,,,
6,6.17E-07,,,
7,4.63E-07,,,
8,-1.54E-07,,,
9,-5.40E-07,,,
10,-7.71E-08,,,
11,-2.31E-07,,,
12,1.54E-07,,,
13,6.17E-07,,,
14,3.86E-07,,,
15,-1.54E-07,,,
0,3.09E-07,,,
1,1.54E-07,,,
2,0,,,
3,3.86E-07,,,
4,7.71E-08,,,
5,7.71E-08,,,
6,4.63E-07,,,
7,1.08E-06,,,
8,9.26E-07,,,
9,1.16E-06,,,
10,8.48E-07,,,
11,4.63E-07,,,
12,7.71E-08,,,
13,5.40E-07,,,
14,7.71E-08,,,
15,-3.86E-07,,,
0,2.31E-07,,,
1,3.09E-07,,,
2,3.09E-07,,,
3,7.71E-07,,,
4,1.47E-06,,,
5,1.23E-06,,,
6,6.94E-07,,,
7,2.31E-07,,,
8,-3.86E-07,,,
9,-7.71E-08,,,
10,-7.71E-08,,,
11,-7.71E-08,,,
12,-5.40E-07,,,
13,-7.71E-08,,,
14,-3.09E-07,,,
15,-6.94E-07,,,
0,-1.08E-06,,,
1,-7.71E-08,,,
2,-3.09E-07,,,
3,7.71E-08,,,
4,7.71E-07,,,
5,8.48E-07,,,
6,1.31E-06,,,
7,8.48E-07,,,
8,8.48E-07,,,
9,3.09E-07,,,
10,7.71E-08,,,
11,-7.71E-07,,,
12,-1.47E-06,,,
13,-8.48E-07,,,
14,-3.09E-07,,,
15,2.31E-07,,,
0,-7.71E-08,,,
1,2.31E-07,,,
2,-2.31E-07,,,
3,-6.17E-07,,,
4,-8.48E-07,,,
5,-6.17E-07,,,
6,2.31E-07,,,
7,1.54E-07,,,
8,3.09E-07,,,
9,6.17E-07,,,
10,0,,,
11,-6.17E-07,,,
12,-6.17E-07,,,
13,-4.63E-07,,,
14,-1.00E-06,,,
15,-1.23E-06,,,
0,-1.77E-06,,,
1,-1.23E-06,,,
2,-1.31E-06,,,
3,-8.48E-07,,,
4,3.09E-07,,,
5,7.71E-07,,,
6,1.23E-06,,,
7,1.39E-06,,,
8,6.94E-07,,,
9,1.00E-06,,,
10,7.71E-08,,,
11,-6.94E-07,,,
12,-1.16E-06,,,
13,-6.94E-07,,,
14,-1.00E-06,,,
15,-1.54E-06,,,
0,-1.08E-06,,,
1,-8.48E-07,,,
2,-6.94E-07,,,
3,-3.86E-07,,,
4,-7.71E-07,,,
5,-6.17E-07,,,
6,-5.40E-07,,,
7,-3.09E-07,,,
8,-3.86E-07,,,
9,3.09E-07,,,
10,-5.40E-07,,,
11,-8.48E-07,,,
12,-1.39E-06,,,
13,-6.17E-07,,,
14,-1.00E-06,,,
15,-4.63E-07,,,
0,3.09E-07,,,
1,9.26E-07,,,
2,7.71E-08,,,
3,2.31E-07,,,
4,5.40E-07,,,
5,3.09E-07,,,
6,-7.71E-08,,,
7,-6.17E-07,,,
8,-1.54E-07,,,
9,-2.31E-07,,,
10,-2.31E-07,,,
11,-3.86E-07,,,
12,-8.48E-07,,,
13,-1.23E-06,,,
14,-1.00E-06,,,
15,-3.86E-07,,,
0,0,,,
1,3.86E-07,,,
2,-1.54E-07,,,
3,-7.71E-08,,,
4,3.86E-07,,,
5,7.71E-07,,,
6,7.71E-08,,,
7,-9.26E-07,,,
8,-9.26E-07,,,
9,-1.16E-06,,,
10,-1.62E-06,,,
11,-1.93E-06,,,
12,-2.55E-06,,,
13,-2.16E-06,,,
14,-1.85E-06,,,
15,-1.93E-06,,,
0,-2.08E-06,,,
1,-1.54E-06,,,
2,-1.93E-06,,,
3,-2.08E-06,,,
4,-2.01E-06,,,
5,-1.16E-06,,,
6,-1.39E-06,,,
7,-1.85E-06,,,
8,-1.77E-06,,,
9,-1.31E-06,,,
10,-1.93E-06,,,
11,-2.16E-06,,,
12,-1.77E-06,,,
13,-1.77E-06,,,
14,-2.24E-06,,,
15,-2.47E-06,,,
0,-2.93E-06,,,
1,-2.39E-06,,,
2,-2.39E-06,,,
3,-2.01E-06,,,
4,-1.16E-06,,,
5,-1.31E-06,,,
6,-1.85E-06,,,
7,-2.31E-06,,,
8,-2.70E-06,,,
9,-2.01E-06,,,
10,-2.55E-06,,,
11,-2.78E-06,,,
12,-2.78E-06,,,
13,-2.16E-06,,,
14,-2.47E-06,,,
15,-2.85E-06,,,
0,-2.47E-06,,,
1,-2.31E-06,,,
2,-2.70E-06,,,
3,-2.31E-06,,,
4,-2.47E-06,,,
5,-2.16E-06,,,
6,-2.16E-06,,,
7,-2.55E-06,,,
8,-3.01E-06,,,
9,-2.24E-06,,,
10,-2.70E-06,,,
11,-2.78E-06,,,
12,-3.01E-06,,,
13,-2.47E-06,,,
14,-2.85E-06,,,
15,-3.16E-06,,,
0,-3.09E-06,,,
1,-2.47E-06,,,
2,-3.01E-06,,,
3,-2.47E-06,,,
4,-1.70E-06,,,
5,-1.93E-06,,,
6,-2.01E-06,,,
7,-2.78E-06,,,
8,-3.55E-06,,,
9,-3.32E-06,,,
10,-3.32E-06,,,
11,-3.24E-06,,,
12,-3.63E-06,,,
13,-3.09E-06,,,
14,-3.16E-06,,,
15,-3.24E-06,,,
0,-3.70E-06,,,
1,-3.09E-06,,,
2,-3.47E-06,,,
3,-2.78E-06,,,
4,-2.24E-06,,,
5,-1.70E-06,,,
6,-2.24E-06,,,
7,-2.85E-06,,,
8,-2.47E-06,,,
9,-2.31E-06,,,
10,-3.09E-06,,,
11,-3.16E-06,,,
12,-3.63E-06,,,
13,-3.16E-06,,,
14,-2.85E-06,,,
15,-2.93E-06,,,
0,-3.01E-06,,,
1,-2.31E-06,,,
2,-2.78E-06,,,
3,-2.85E-06,,,
4,-2.85E-06,,,
5,-2.01E-06,,,
6,-2.16E-06,,,
7,-2.31E-06,,,
8,-2.24E-06,,,
9,-2.01E-06,,,
10,-2.24E-06,,,
11,-2.62E-06,,,
12,-2.16E-06,,,
13,-2.08E-06,,,
14,-2.55E-06,,,
15,-2.85E-06,,,
0,-3.39E-06,,,
1,-3.01E-06,,,
2,-2.78E-06,,,
3,-2.55E-06,,,
4,-1.77E-06,,,
5,-2.08E-06,,,
6,-2.78E-06,,,
7,-3.16E-06,,,
8,-3.86E-06,,,
9,-4.17E-06,,,
10,-3.78E-06,,,
11,-3.01E-06,,,
12,-2.55E-06,,,
13,-2.01E-06,,,
14,-2.31E-06,,,
15,-2.70E-06,,,
0,-3.39E-06,,,
1,-4.09E-06,,,
2,-4.55E-06,,,
3,-4.47E-06,,,
4,-4.70E-06,,,
5,-4.70E-06,,,
6,-4.78E-06,,,
7,-4.70E-06,,,
8,-4.70E-06,,,
9,-4.70E-06,,,
10,-4.86E-06,,,
11,-4.47E-06,,,
12,-4.86E-06,,,
13,-4.70E-06,,,
14,-4.78E-06,,,
15,-4.70E-06,,,
0,-4.86E-06,,,
1,-4.70E-06,,,
2,-4.63E-06,,,
3,-4.70E-06,,,
4,-4.86E-06,,,
5,-4.78E-06,,,
6,-4.86E-06,,,
7,-4.63E-06,,,
8,-3.47E-06,,,
9,-2.08E-06,,,
10,-1.16E-06,,,
11,-7.71E-08,,,
12,8.48E-07,,,
13,1.16E-06,,,
14,1.85E-06,,,
15,1.70E-06,,,
0,1.00E-06,,,
1,1.31E-06,,,
2,6.17E-07,,,
3,7.71E-08,,,
4,3.86E-07,,,
5,4.63E-07,,,
6,-6.94E-07,,,
7,-1.70E-06,,,
8,-1.85E-06,,,
9,-2.01E-06,,,
10,-2.31E-06,,,
11,-2.16E-06,,,
12,-2.47E-06,,,
13,-2.01E-06,,,
14,-1.70E-06,,,
15,-2.39E-06,,,
0,-2.78E-06,,,
1,-2.24E-06,,,
2,-2.39E-06,,,
3,-2.39E-06,,,
4,-2.70E-06,,,
5,-2.08E-06,,,
6,-2.16E-06,,,
7,-2.01E-06,,,
8,-2.01E-06,,,
9,-1.62E-06,,,
10,-2.16E-06,,,
11,-2.47E-06,,,
12,-1.93E-06,,,
13,-1.85E-06,,,
14,-1.85E-06,,,
15,-1.93E-06,,,
0,-2.85E-06,,,
1,-2.55E-06,,,
2,-2.31E-06,,,
3,-2.47E-06,,,
4,-2.62E-06,,,
5,-2.31E-06,,,
6,-2.39E-06,,,
7,-2.47E-06,,,
8,-2.70E-06,,,
9,-2.08E-06,,,
10,-2.39E-06,,,
11,-1.93E-06,,,
12,-1.23E-06,,,
13,-9.26E-07,,,
14,-1.54E-06,,,
15,-2.24E-06,,,
0,-2.01E-06,,,
1,-1.62E-06,,,
2,-2.01E-06,,,
3,-2.55E-06,,,
4,-2.01E-06,,,
5,-1.93E-06,,,
6,-2.31E-06,,,
7,-2.70E-06,,,
8,-3.16E-06,,,
9,-2.62E-06,,,
10,-2.55E-06,,,
11,-2.62E-06,,,
12,-2.47E-06,,,
13,-1.62E-06,,,
14,-1.62E-06,,,
15,-1.93E-06,,,
0,-1.93E-06,,,
1,-1.54E-06,,,
2,-2.01E-06,,,
3,-2.47E-06,,,
4,-2.08E-06,,,
5,-2.16E-06,,,
6,-2.24E-06,,,
7,-2.39E-06,,,
8,-2.93E-06,,,
9,-2.47E-06,,,
10,-1.93E-06,,,
11,-1.70E-06,,,
12,-6.17E-07,,,
13,-9.26E-07,,,
14,-1.70E-06,,,
15,-2.24E-06,,,
0,-2.85E-06,,,
1,-3.32E-06,,,
2,-2.85E-06,,,
3,-2.39E-06,,,
4,-2.08E-06,,,
5,-1.70E-06,,,
6,-1.70E-06,,,
7,-2.24E-06,,,
8,-1.62E-06,,,
9,-1.54E-06,,,
10,-1.85E-06,,,
11,-1.39E-06,,,
12,-1.85E-06,,,
13,-1.54E-06,,,
14,-1.54E-06,,,
15,-1.85E-06,,,
0,-2.31E-06,,,
